CountryName,Date,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,population_density,median_age,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,population,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H8M_Protection of elderly people,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
Brazil,20200830,17670.991,180.782,555.023,4.078,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,3,2,1,1,1,0,0,2,2,2,0,0,4,1,73.61,66.41,68.75,50
Brazil,20200831,17863.037,175.021,559.473,4.122,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200901,17938.081,170.202,561.172,4.037,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200902,18151.541,189.366,563.741,4.029,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200903,18349.667,186.397,569.384,3.992,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200904,18567.646,186.246,574.883,4.057,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200905,18770.945,185.94,578.756,3.958,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200906,19008.71,191.103,582.969,3.992,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200907,19148.822,183.684,586.136,3.809,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200908,19216.263,182.598,588.212,3.863,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200909,19263.975,158.919,589.652,3.702,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200910,19330.292,140.089,591.993,3.23,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200911,19496.636,132.713,596.985,3.158,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200912,19684.998,130.579,601.551,3.256,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200913,19888.042,125.619,605.61,3.234,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200914,20043.736,127.845,609.39,3.322,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200915,20112.324,128.009,611.318,3.301,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200916,20182.71,131.248,613.087,3.348,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200917,20352.941,146.093,618.257,3.752,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200918,20523.947,146.759,622.841,3.694,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,0,0,0,2,2,2,0,0,4,1,69.91,61.2,66.37,25
Brazil,20200919,20692.553,143.936,626.691,3.591,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200920,20877.385,141.335,630.676,3.581,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200921,21030.915,141.026,634.108,3.531,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200922,21107.032,142.101,635.794,3.497,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200923,21169.448,140.963,637.545,3.494,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,3,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,67.13,62.76,64.58,50
Brazil,20200924,21325.202,138.894,641.427,3.31,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,3,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,67.13,62.76,64.58,50
Brazil,20200925,21479.772,136.546,645.463,3.232,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,3,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,67.13,62.76,64.58,50
Brazil,20200926,21632.187,134.234,649.323,3.233,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,3,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,67.13,62.76,64.58,50
Brazil,20200927,21780.394,129.001,652.709,3.148,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,3,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,67.13,62.76,64.58,50
